source,target,score
PHACTR1,DPF2,0.18428074
CTTNBP2,ABHD6,0.1825506
SYT1,ABCB8,0.18222791
FGF13,ABCB8,0.1821084
CADM2,GPLD1,0.18020643
KCNIP4,RABL3,0.18019064
HIVEP3,ABCB8,0.17864095
KHDRBS2,JOSD1,0.17820174
NEGR1,JOSD1,0.17800808
AUH,ACTR1A,0.17567158
MBD5,RABL3,0.1742423
CADM2,CCDC6,0.1741467
CSMD1,RABL3,0.17402965
SEM1,PIR,0.1736033
PTPRN2,GPLD1,0.17340408
PDE4D,RSBN1L,0.1733353
KHDRBS2,ANKRD16,0.17327768
NEGR1,DPF2,0.17114656
SYT1,RABL3,0.17097269
EXD3,GOT1,0.17022802
TENM2,DPF2,0.16938983
GRIA4,ABCB8,0.16931348
GABBR2,ESYT2,0.16904248
XKR6,DPF2,0.16878504
RGS7,ABHD6,0.16858397
SYT1,CIZ1,0.16855782
LARGE1,ABHD6,0.16852677
FRMPD4,ZFAND3,0.16827749
TRPM3,RABL3,0.16812228
DPP6,ABCB8,0.16811603
ZNF385B,JOSD1,0.16797759
PHACTR1,RSBN1L,0.16791876
KIF26B,TRAF3,0.16764458
CELF4,ABCB8,0.16750205
PDE4D,ABHD6,0.16745442
PBX1,DPF2,0.16723157
SYT1,GPLD1,0.16694693
PCDH7,RABL3,0.16676454
MACROD2,ABCB8,0.1667635
MED13L,ANKRD16,0.16619612
ADGRB3,RABL3,0.16594216
KHDRBS2,DPF2,0.16561204
TAFA2,JOSD1,0.16560365
GRIK2,RABL3,0.1653612
CNTN4,DPF2,0.1652635
LRP1B,RABL3,0.16465469
KCNC2,RABL3,0.16345851
RGS7,GPLD1,0.16338614
ADCY2,RABL3,0.16335174
MACROD2,GPLD1,0.16330856
NRG3,ABHD6,0.16301052
NRG1,ABCB8,0.16291595
RIMS2,CIZ1,0.16279744
ADGRL3,DPF2,0.16279095
RABGAP1L,JOSD1,0.1627547
GRIN2B,RABL3,0.1627136
LRP1B,GPLD1,0.16262087
CNTN4,APP,0.16219546
PDE4B,GPLD1,0.16213244
SYT1,PRMT7,0.16203547
DPP6,GPLD1,0.16189529
MDGA2,CIZ1,0.16162421
PDE4D,DPF2,0.16161236
NALF1,JOSD1,0.16150287
PAK3,ABHD6,0.16122627
PHACTR1,ATXN10,0.16110623
SYT1,JOSD1,0.16105306
ATP8A2,ABCB8,0.16097175
MACROD2,JOSD1,0.1604094
TOX,JOSD1,0.16038035
UNC79,RABL3,0.16018398
MCTP1,DPF2,0.16006969
FRY,GPLD1,0.15977977
PHACTR1,JOSD1,0.15966372
PHACTR1,GPLD1,0.15952197
PHKB,ESYT2,0.15950762
NRG3,GPLD1,0.15935908
CHRM3,ABHD6,0.15934135
ERC1,RABL3,0.1592521
RIMS2,JOSD1,0.15922648
NRG3,RABL3,0.15919748
RIMS2,GPLD1,0.15918761
NBEA,JOSD1,0.15915962
PTPRM,ABCB8,0.15915345
AAK1,RABL3,0.15904425
PDE4D,GPLD1,0.15892996
CACNA1A,ZFAND3,0.15876772
PCNX2,GPLD1,0.15860033
CNOT4,RABL3,0.1585226
GRIP1,GPLD1,0.15848728
PPP3CA,ZFAND3,0.15841047
EHBP1,JOSD1,0.15831137
CNTNAP5,GPLD1,0.1581962
BRAF,GPLD1,0.15810823
GRM5,ABCB8,0.1580462
ERC2,DPF2,0.1578671
CNTN4,STAMBPL1,0.1578288
NEGR1,PUM2,0.15780233
FGF13,MANBA,0.15749349
KCNB2,GPLD1,0.15747128
UNC13C,ABCB8,0.15746541
ARID1B,ANKRD16,0.15732181
NELL2,ABHD6,0.15714563
KALRN,DPF2,0.1571054
FRMPD4,JOSD1,0.15686892
NBEA,INPP5B,0.15679273
TAFA2,PUM2,0.15648521
PTPRN2,DPF2,0.15636726
ANKS1B,JOSD1,0.15627852
FGF13,ATXN10,0.15620099
DLGAP1,DPF2,0.15610439
GPHN,GPLD1,0.15602753
PAK3,RGS12,0.15596251
DCLK1,ABHD6,0.1558977
STOX2,MANBA,0.15586393
CSMD1,PUM2,0.15580028
CDK14,ABCB8,0.15571032
NRCAM,JOSD1,0.15564875
GRIN2B,DPF2,0.15556975
PPP3CA,JOSD1,0.15520312
NELL1,ASB13,0.15499927
NBEA,ZNF277,0.15498349
KCNQ5,PUM2,0.15496565
SYT1,GOT1,0.15496196
GABRB1,RABL3,0.15482447
LINGO2,TBC1D1,0.15472208
GABRB3,PRMT7,0.1547089
TAFA2,GPLD1,0.15469594
ANKS1B,RGS12,0.15464455
CSMD1,PIR,0.15458919
MAGI2,GPLD1,0.15450223
MEF2C,RABL3,0.15445836
CNKSR2,ANKRD16,0.15444121
NELL1,ABHD6,0.15434557
MACROD2,ESYT2,0.15427944
PHACTR1,STAMBPL1,0.1541832
DLGAP1,ABCB8,0.15417518
CADPS,STAMBPL1,0.15399529
MMP16,PIR,0.15395601
KATNBL1,ABCB8,0.15394981
ANK3,GPLD1,0.15391126
CLSTN2,JOSD1,0.15390883
RNF150,ABCB8,0.15384893
UNC79,DPF2,0.1538017
TAFA2,PRMT7,0.15378325
MBD5,GOT1,0.15372072
NBEA,DPF2,0.15368594
MACF1,GPLD1,0.1536273
PPP3CA,CIZ1,0.15358393
CCSER1,JOSD1,0.15357585
LRRC4C,RABL3,0.15353177
FGF14,JOSD1,0.15339233
ARFGEF3,ZNF248,0.15296856
GRIN2B,ABHD6,0.1529011
PTPRZ1,PIR,0.1528491
GABRB3,GPLD1,0.15283065
CNTN4,PRMT7,0.15282388
SCN2A,JOSD1,0.1528133
KHDRBS2,ZFAND3,0.1527995
NBEA,STAMBPL1,0.15276307
DYNC1H1,ESYT2,0.15270905
NCOA1,ASB13,0.1526674
ARID1B,GPLD1,0.1526256
CSMD1,ESYT2,0.15246698
CNTN4,ABHD6,0.1524421
TRHDE,PRKAG2,0.15243708
SCAI,JOSD1,0.15235138
CELF4,STAMBPL1,0.15231518
FRMPD4,PRMT7,0.15228029
RABGAP1L,ANKRD16,0.15223774
ENOX1,RABL3,0.15222241
FGF14,RABL3,0.15216725
KHDRBS2,ESYT2,0.15197219
ADARB2,RABL3,0.15185682
ROBO2,GPLD1,0.15179731
ERC2,PRMT7,0.15176618
KIRREL3,RABL3,0.15167677
PHACTR1,ZFAND3,0.15165259
ALK,ABCB8,0.1515664
LRRTM4,DPF2,0.15155707
FRMD4A,RABL3,0.15135017
PDE4D,PISD,0.15126239
KHDRBS2,RABL3,0.1512253
GRIA2,GPLD1,0.15109201
ZNF385B,ZFAND3,0.15099445
MMS19,JOSD1,0.15092264
ROBO2,ABHD6,0.15086867
PAK3,GPLD1,0.15085821
DLG2,GPLD1,0.15080322
PCDH7,JOSD1,0.15055723
CNTN1,STAMBPL1,0.15041514
CNTN4,SUCLG1,0.1503212
MCTP1,ABCB8,0.15024033
NBEA,PCED1B,0.1502064
NPAS3,RABL3,0.15009843
PDE4D,JOSD1,0.15005194
PDZD2,PUM2,0.15003197
PCDH7,PUM2,0.15003128
KCNB2,SENP5,0.1500129
OPCML,JOSD1,0.14999522
KALRN,JOSD1,0.14997679
KCNQ5,JOSD1,0.14989407
ANKS1B,TBC1D1,0.14972927
GRIP1,ASB13,0.14969379
NAV3,PUM2,0.1496118
ANKS1B,GOT1,0.14941119
JAZF1,STAMBPL1,0.14940959
NXPH2,STAMBPL1,0.14930154
FSTL5,ABCB8,0.14916514
DSCAM,RABL3,0.149076
SMYD3,STAMBPL1,0.14905715
GABBR2,JOSD1,0.14905113
PRKCE,DPF2,0.14890791
NALF1,GPLD1,0.14886682
DCLK1,JOSD1,0.14880642
ATRNL1,DPF2,0.14853963
FGF14,PUM2,0.14853306
PTPRN2,PRMT7,0.1485032
THSD7A,RABL3,0.14842123
KHDRBS2,RSBN1L,0.14832032
MDGA2,JOSD1,0.14805977
ST6GALNAC5,DPF2,0.14805198
SLC39A10,RABL3,0.14802746
ADGRL3,ESYT2,0.14801693
MTUS2,PRMT7,0.14795233
SNTG1,ASB13,0.14792602
PRICKLE1,STAMBPL1,0.14789076
PTPRN2,PUM2,0.1477745
ANKS1B,ZFAND3,0.14772575
LRRC4C,PIR,0.14768411
CTNNA2,GOT1,0.1475937
GPATCH8,ANKRD16,0.14752282
GRM5,GPLD1,0.14742465
MAPK14,GOT1,0.14726512
MGAT4C,ABCB8,0.14719476
THSD7A,ABHD6,0.14718
DYNC2H1,GALNT2,0.1471482
FSTL5,GPLD1,0.14712153
ZNF804A,PUS7L,0.14711644
RGS7,JOSD1,0.14707822
HDAC4,GOT1,0.14685851
SGIP1,ABCB8,0.14669113
NALF1,PUM2,0.14663233
KMT2A,GPLD1,0.14659028
DLGAP1,PRMT7,0.14646523
GRIP1,ABHD6,0.14631304
ADARB2,MANBA,0.14614315
DPP6,RABL3,0.1461171
FGF14,GPLD1,0.14609264
DOCK9,GPLD1,0.14590225
TENM2,PISD,0.14587401
RGS7,ZFAND3,0.14584748
SBF2,OSGEP,0.1458062
PAK3,PRMT7,0.14575236
PPFIA2,DPF2,0.14570065
JMJD1C,JOSD1,0.14565513
NEGR1,RSBN1L,0.1456523
GALNTL6,ABHD6,0.14557652
KCNIP4,JOSD1,0.14552464
KCNIP4,ANKRD16,0.14550476
FER,MBNL2,0.14541183
ARFGEF3,ASB13,0.14532812
NALF1,CIZ1,0.14515541
CSMD3,PUM2,0.1451181
DLGAP1,CIZ1,0.14510807
TMEM178B,PUM2,0.14507258
NAV2,PIR,0.14504252
MACF1,DHX15,0.14501457
EFNA5,DPF2,0.14500472
LRFN5,PRMT7,0.14492995
PCDH7,RSBN1L,0.14488517
DLGAP1,JOSD1,0.14486708
FGF12,RABL3,0.14482062
FRMPD4,PISD,0.14475974
NFIA,ACTR1A,0.14473887
SYN3,GPLD1,0.14466436
SUPT3H,PUS7L,0.14458923
MCTP1,ANKRD44,0.14457016
TRIP11,APP,0.14456415
CDH12,PRMT7,0.14447963
ATXN1,RGS12,0.1443565
MAGI2,STAMBPL1,0.1443084
PPFIA2,CIZ1,0.14416803
SESN1,GPLD1,0.14414862
FGF13,USP33,0.14394209
GABRB3,PUM2,0.14393117
TNIK,ASB13,0.14392595
MDGA2,RSBN1L,0.14385806
PDE4D,ATXN10,0.14365725
KCNMA1,ABHD6,0.14358233
SYBU,GOT1,0.14349627
LARGE1,RCOR3,0.14346896
RIMS2,PRMT7,0.14342594
CELF4,JOSD1,0.14340925
RYR2,GOT1,0.14340673
GPATCH8,RABL3,0.14338905
BCL11A,ESYT2,0.14338051
